year,amount,adjustment
1997,1,0.699300699
1998,1.02,0.713286713
1999,1.04,0.727272727
2000,1.07,0.748251748
2001,1.1,0.769230769
2002,1.12,0.783216783
2003,1.15,0.804195804
2004,1.18,0.825174825
2005,1.22,0.853146853
2006,1.26,0.881118881
2007,1.29,0.902097902
2008,1.34,0.937062937
2009,1.34,0.937062937
2010,1.36,0.951048951
2011,1.4,0.979020979
2012,1.43,1
2013,1.45,1.013986014
2014,1.47,1.027972028
2015,1.48,1.034965035
2016,1.5,1.048951049
2017,1.53,1.06993007
2018,1.57,1.097902098
2019,1.59,1.111888112
2020,1.61,1.125874126
2021,1.69,1.181818182
2022,1.82,1.272727273
2023,1.9,1.328671329
